Date,Refinery Capacity in %
3/29/1996,93.1
3/22/1996,90.9
3/15/1996,90.5
3/8/1996,90.5
3/1/1996,90.8
2/23/1996,89.5
2/16/1996,90.4
2/9/1996,90.7
2/2/1996,90.5
1/26/1996,90.6
1/19/1996,91.6
1/12/1996,91.3
1/5/1996,93.2
12/29/1995,93.2
12/22/1995,92
12/15/1995,92.7
12/8/1995,94.6
12/1/1995,94.1
11/24/1995,91.5
11/17/1995,90.5
11/10/1995,88.2
11/3/1995,89.3
10/27/1995,89.7
10/20/1995,90
10/13/1995,88.5
10/6/1995,92.4
9/29/1995,94.7
9/22/1995,94.2
9/15/1995,96
9/8/1995,95.9
9/1/1995,95.1
8/25/1995,93.3
8/18/1995,93.4
8/11/1995,93.5
8/4/1995,94
7/28/1995,94.1
7/21/1995,93.5
7/14/1995,94.7
7/7/1995,93.9
6/30/1995,94.8
6/23/1995,96.5
6/16/1995,95.9
6/9/1995,96
6/2/1995,95.9
5/26/1995,95.8
5/19/1995,93.9
5/12/1995,91.8
5/5/1995,91.3
4/28/1995,92.8
4/21/1995,93.6
4/14/1995,89.5
4/7/1995,89.1
3/31/1995,88.3
3/24/1995,89.1
3/17/1995,89.2
3/10/1995,91
3/3/1995,90.8
2/24/1995,89.2
2/17/1995,90.2
2/10/1995,89.3
2/3/1995,89.5
1/27/1995,88.8
1/20/1995,90.4
1/13/1995,92.7
1/6/1995,95.3
12/30/1994,93.9
12/23/1994,92.8
12/16/1994,92.9
12/9/1994,91.8
12/2/1994,95
11/25/1994,95.3
11/18/1994,92.8
11/11/1994,90
11/4/1994,90.2
10/28/1994,86.8
10/21/1994,89.6
10/14/1994,90.4
10/7/1994,92.2
9/30/1994,93.8
9/23/1994,94
9/16/1994,94.4
9/9/1994,96.8
9/2/1994,95.9
8/26/1994,96.5
8/19/1994,96.1
8/12/1994,96.5
8/5/1994,95.7
7/29/1994,94.7
7/22/1994,95.1
7/15/1994,96
7/8/1994,94.8
7/1/1994,96.2
6/24/1994,97.2
6/17/1994,95.7
6/10/1994,97.2
6/3/1994,95.8
5/27/1994,96.3
5/20/1994,94.8
5/13/1994,97.3
5/6/1994,96.6
4/29/1994,95.8
4/22/1994,95.6
4/15/1994,92.2
4/8/1994,88.7
4/1/1994,87.5
3/25/1994,86
3/18/1994,87
3/11/1994,87.5
3/4/1994,85.7
2/25/1994,87.3
2/18/1994,89.6
2/11/1994,89.5
2/4/1994,88.2
1/28/1994,87.3
1/21/1994,89.7
1/14/1994,90.9
1/7/1994,89.9
12/31/1993,92.7
12/24/1993,90
12/17/1993,91.6
12/10/1993,92.1
12/3/1993,92.6
11/26/1993,91.4
11/19/1993,91.9
11/12/1993,91.7
11/5/1993,91.8
10/29/1993,91.7
10/22/1993,91.1
10/15/1993,92.2
10/8/1993,92.5
10/1/1993,92.8
9/24/1993,92.7
9/17/1993,92.6
9/10/1993,92.3
9/3/1993,92.3
8/27/1993,93.6
8/20/1993,93.6
8/13/1993,94.1
8/6/1993,95.1
7/30/1993,94.5
7/23/1993,95.5
7/16/1993,95.5
7/9/1993,96
7/2/1993,96
6/25/1993,95
6/18/1993,95
6/11/1993,94
6/4/1993,94
5/28/1993,94
5/21/1993,92
5/14/1993,91
5/7/1993,92
4/30/1993,93
4/23/1993,92
4/16/1993,90
4/9/1993,87
4/2/1993,90
3/26/1993,87
3/19/1993,88
3/12/1993,86
3/5/1993,85
2/26/1993,85
2/19/1993,87
2/12/1993,87
2/5/1993,85
1/29/1993,87
1/22/1993,87
1/15/1993,86
1/8/1993,87
1/1/1993,88
12/25/1992,87
12/18/1992,88
12/11/1992,87
12/4/1992,90
11/27/1992,90
11/20/1992,89
11/13/1992,90
11/6/1992,90
10/30/1992,90
10/23/1992,90
10/16/1992,88
10/9/1992,88
10/2/1992,90
9/25/1992,89
9/18/1992,89
9/11/1992,90
9/4/1992,85
8/28/1992,86
8/21/1992,89
8/14/1992,89
8/7/1992,90
7/31/1992,89
7/24/1992,90
7/17/1992,91
7/10/1992,91
7/3/1992,91
6/26/1992,92
6/19/1992,90
6/12/1992,89
6/5/1992,89
5/29/1992,89
5/22/1992,87
5/15/1992,87
5/8/1992,84
5/1/1992,85
4/24/1992,85
4/17/1992,86
4/10/1992,86
4/3/1992,87
3/27/1992,85
3/20/1992,84
3/13/1992,82
3/6/1992,79
2/28/1992,79
2/21/1992,80
2/14/1992,80
2/7/1992,82
1/31/1992,80
1/24/1992,81
1/17/1992,84
1/10/1992,86
1/3/1992,85
12/27/1991,87
12/20/1991,87
12/13/1991,86
12/6/1991,83
11/29/1991,84
11/22/1991,86
11/15/1991,82
11/8/1991,81
11/1/1991,82
10/25/1991,82
10/18/1991,83
10/11/1991,86
10/4/1991,87
9/27/1991,87
9/20/1991,89
9/13/1991,89
9/6/1991,91
8/30/1991,90
8/23/1991,89
8/16/1991,88
8/9/1991,88
8/2/1991,88
7/26/1991,89
7/19/1991,89
7/12/1991,86
7/5/1991,88
6/28/1991,89
6/21/1991,90
6/14/1991,90
6/7/1991,88
5/31/1991,90
5/24/1991,87
5/17/1991,86
5/10/1991,87
5/3/1991,86.6
4/26/1991,85
4/19/1991,84
4/12/1991,83
4/5/1991,83
3/29/1991,81
3/22/1991,82
3/15/1991,83
3/8/1991,84
3/1/1991,85
2/22/1991,85
2/15/1991,84
2/8/1991,84
2/1/1991,83
1/25/1991,83
1/18/1991,82
1/11/1991,80
1/4/1991,80
12/28/1990,84
12/21/1990,84
12/14/1990,83
12/7/1990,82
11/30/1990,89
11/23/1990,84
11/16/1990,84
11/9/1990,83
11/2/1990,84
